SITE_CODE,SHORT_TITLE,TITLE,STAGE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,EXTRACT_DATE
S0000728,Jasper,Jasper - Aucklands,Operating,Gwalia - Leonora,121.243896,-28.75897,328546,6817454,51,Au Ag,Precious metal,GOLD,20221018
S0000732,Main Dome,Telfer Main Dome,Operating,Telfer / Newcrest,122.207118,-21.719565,417996,7598002,51,Au Cu Ag,Precious metal,GOLD,20221018
S0000769,Edna May UG,Edna May Underground,Operating,Edna May - Westonia,118.700154,-31.291771,661822,6536815,50,Au Ag Opalc,Precious metal,GOLD,20221018
S0000770,Edna May,Edna May - Westonia,Operating,Edna May - Westonia,118.698538,-31.290258,661670,6536985,50,Au W Ag,Precious metal,GOLD,20221018
S0000776,Bulletin,Bulletin - Wiluna,Operating,Matilda,120.246696,-26.61145,225834,7053646,51,Au Ag,Precious metal,GOLD,20221018
S0000811,Anglo Saxon,Anglo Saxon - Trouser Legs,Operating,Anglo Saxon - Trouser Legs,122.731479,-30.076781,474122,6672676,51,Au Ag,Precious metal,GOLD,20221018
S0000847,Great Victoria,Great Victoria - GVG,Operating,Marvel Loch - Southern Cross,119.5737,-31.544279,744331,6507203,50,Au Ag,Precious metal,GOLD,20221018
S0000880,Mt Charlotte,Mt Charlotte,Operating,Golden Mile / KCGM,121.480904,-30.746441,354587,6597513,51,Au Ag,Precious metal,GOLD,20221018
S0000909,Porphyry Pit,Porphyry Open Pit,Operating,Porphyry - Northern Operations,122.285004,-29.780899,430888,6705278,51,Au Ag,Precious metal,GOLD,20221018
S0000927,Two Boys,Two Boys / Karora,Operating,Higginsville,121.724998,-31.74041,379227,6487630,51,Au Ag,Precious metal,GOLD,20221018
S0000933,Bellevue UG,Bellevue Underground,Operating,Bellevue,120.557701,-27.638941,259030,6940410,51,Au Ag,Precious metal,GOLD,20221018
S0001007,Wandoo S,Wandoo South,Operating,Boddington Gold,116.357519,-32.753078,439815,6375904,50,Au Cu As Bi Ag,Precious metal,GOLD,20221018
S0001063,Mickey Doolan,Mickey Doolan,Operating,Cue Gold - Central Murchison,118.502775,-26.618099,649609,7054983,50,Au Ag,Precious metal,GOLD,20221018
S0001145,Comet-Pinnacles UG,Comet - Pinnacles Underground,Operating,Cue Gold - Central Murchison,118.043602,-27.5401,603045,6953307,50,Au Ag,Precious metal,GOLD,20221018
S0002194,Stellar,Stellar,Operating,Mt Magnet,117.782492,-28.048626,576903,6897164,50,Au Ag,Precious metal,GOLD,20221018
