site_code,short_title,stage,longitude,latitude,target_group_name
S0003919,Great Western,Operating,121.180492,-28.317054,GOLD
S0003942,Westralia UG,Operating,122.0679,-28.769622,GOLD
S0003946,Gordon-Sirdar,Operating,121.594498,-30.45035,GOLD
S0004141,Deflector,Operating,116.379426,-28.669106,GOLD
S0004149,Salmon,Operating,119.545403,-25.299311,GOLD
S0004153,Million Dollar South,Operating,122.285777,-29.804468,GOLD
S0004154,Kirkalocka,Operating,117.761538,-28.674935,GOLD
S0004221,Paddys Flat UG,Operating,118.508598,-26.60535,GOLD
S0004297,Riverina Pit,Operating,120.564972,-29.744602,GOLD
S0004301,Jaurdi,Operating,120.925003,-30.688709,GOLD
S0004348,28 Pit,Operating,121.246201,-30.963989,GOLD
S0004460,Goldstream,Operating,119.280587,-30.202968,GOLD
S0004462,Cobra,Operating,119.247803,-30.19342,GOLD
S0004468,King Brown,Operating,119.119377,-30.116279,GOLD
S0004505,Golden Delicious,Operating,122.459342,-29.013648,GOLD
S0004551,Great Fingall Pit,Operating,117.85805,-27.461048,GOLD
S0004791,Darlot UG,Operating,121.268898,-27.887529,GOLD
S0004877,Santa,Operating,122.209736,-31.040615,GOLD
S0004886,Janet Ivy,Operating,121.383328,-30.774467,GOLD
S0004927,Maid Marion,Operating,118.5933,-26.46312,GOLD
S0004954,Moonbeam,Operating,121.243797,-30.7213,GOLD
S0004988,Vivien,Operating,120.568522,-27.976476,GOLD
S0004991,Atriedes,Operating,122.559575,-31.065608,GOLD
S0005030,Maxwells,Operating,122.198932,-31.08101,GOLD
S0005063,Otto Bore,Operating,121.015082,-28.111005,GOLD
S0005074,Cockeyed Bob Deeps,Operating,122.176786,-31.088521,GOLD
S0005156,King of the Hills,Operating,121.163002,-28.671459,GOLD
S0005315,Gilbeys,Operating,117.265226,-27.846241,GOLD
S0005365,Bungarra,Operating,121.466839,-27.400148,GOLD
S0005388,Cutters Ridge Main,Operating,121.182302,-30.771702,GOLD
S0005546,Zone 19,Operating,119.442596,-25.293249,GOLD
S0005627,Panther,Operating,120.884697,-30.68709,GOLD
S0005786,White Foil,Operating,121.250603,-30.773726,GOLD
S0005837,Golden Wings,Operating,117.295898,-27.821173,GOLD
S0005841,Centenary,Operating,121.285769,-27.886146,GOLD
S0005842,New Holland S UG,Operating,120.497378,-27.985018,GOLD
S0005907,Granny Venn,Operating,121.091797,-29.664061,GOLD
S0005909,Bulletin U/G,Operating,120.246696,-26.61145,GOLD
S0006416,Federal,Operating,121.4133,-30.412621,GOLD
S0006418,Lady Rosie,Operating,117.801355,-27.395183,GOLD
S0006435,Arctic Zone,Operating,121.220299,-30.693701,GOLD
S0006486,Porphyry,Operating,121.0233,-30.49255,GOLD
S0006504,Rosemont,Operating,122.27453,-27.838985,GOLD
S0006553,Klondyke,Operating,119.892303,-21.33811,GOLD
S0006568,Jakarta,Operating,121.401912,-30.42485,GOLD
S0006569,Anchor-Zeta,Under Development,122.34753,-27.672218,GOLD
S0006570,Fort William,Operating,121.384102,-30.788719,GOLD
S0006621,Sunrise Dam Underground,Operating,122.419353,-29.079405,GOLD
S0006651,Zone 124,Operating,119.442299,-25.30196,GOLD
S0006652,Plutonic NW,Operating,119.438004,-25.314529,GOLD
S0006668,The Mount,Operating,121.56947,-31.528304,GOLD
S0006687,Golden Orb,Operating,119.182297,-30.285641,GOLD
S0006727,Beta Hunt,Operating,121.696799,-31.246434,GOLD
S0006746,Starlight UG,Operating,118.358498,-25.321899,GOLD
S0009463,Regal,Operating,121.638346,-30.799029,GOLD
S0016736,Milky Way,Operating,117.788887,-28.053322,GOLD
S0017129,Pegasus,Operating,121.256852,-30.737972,GOLD
S0018747,Thunderbox Zone C,Operating,121.007181,-28.190531,GOLD
