site_code,short_title,stage,longitude,latitude,target_group_name
S0230299,Young,Operating,119.803081,-22.39782,IRON ORE
S0230393,HD1 NW,Operating,119.099793,-22.951863,IRON ORE
S0230394,HD1 NE3,Operating,119.137386,-22.953708,IRON ORE
S0230398,A-CPs,Operating,118.775693,-23.190224,IRON ORE
S0230405,Section 6 South,Operating,117.744875,-22.78018,IRON ORE
S0230406,Section 7C2,Operating,117.718501,-22.767716,IRON ORE
S0230408,Tail Extension Pit,Operating,118.172912,-22.661082,IRON ORE
S0230415,Miralga East - Comet,Operating,119.424783,-20.972158,IRON ORE
S0230416,Pit3 W,Operating,117.200339,-22.600088,IRON ORE
S0230417,Pit2 Final,Operating,117.168049,-22.61351,IRON ORE
S0230572,Stage 2 / Pit N,Operating,119.31734,-22.719705,IRON ORE
S0231031,Runway North,Operating,119.679253,-21.420504,IRON ORE
S0231032,Shark Gully,Operating,119.669611,-21.450806,IRON ORE
S0231635,B1 Sat,Operating,117.472463,-22.67876,IRON ORE
S0232120,NMM West,Operating,119.048777,-23.122646,IRON ORE
S0232472,F1,Operating,119.604352,-30.869792,IRON ORE
S0232834,Red Hill Creek West,Under Development,116.292816,-22.077104,IRON ORE
S0232873,W7 New,Operating,119.245668,-30.006664,IRON ORE
S0233083,Bravo Pits,Operating,119.925829,-22.470314,IRON ORE
S0233084,Zulu Pits,Operating,119.896004,-22.443007,IRON ORE
S0233295,Baby Hope Central,Operating,119.058934,-23.016613,IRON ORE
S0233296,Baby Hope East,Operating,119.087417,-23.013262,IRON ORE
S0233297,Baby Hope West,Operating,119.039133,-23.017222,IRON ORE
S0233907,W10,Operating,119.259221,-30.011667,IRON ORE
S0233969,Echo Pits,Operating,119.959538,-22.494661,IRON ORE
S0233970,Golf Pits,Operating,119.984053,-22.517949,IRON ORE
S0234537,Abrolhos,Operating,119.323753,-22.268512,IRON ORE
S0234755,Westside,Operating,116.868871,-22.492958,IRON ORE
S0234928,Runway South,Operating,119.679793,-21.423504,IRON ORE
S0235123,MAC F West,Operating,118.847639,-22.941503,IRON ORE
S0235124,MAC E West,Operating,118.875894,-22.933634,IRON ORE
S0235993,Sierra Pits,Operating,120.01152,-22.557215,IRON ORE
S0236214,Frederick West,Under Development,117.87746,-22.227412,IRON ORE
S0236215,Frederick East,Under Development,117.894904,-22.227627,IRON ORE
S0238303,Mt Caudan South,Operating,119.551693,-31.626094,IRON ORE
S0238304,Mt Caudan North,Operating,119.557558,-31.607856,IRON ORE
S0238514,Cathedral,Operating,119.830589,-22.407888,IRON ORE
S0238550,Adelle,Operating,119.44835,-22.319411,IRON ORE
S0238551,Cockatoo,Operating,119.327125,-22.307419,IRON ORE
S0238552,Norfolk,Operating,119.294325,-22.313983,IRON ORE
S0239230,Miralga W-Rudolph,Operating,119.318785,-21.023512,IRON ORE
S0239437,Miralga East-Vixen,Under Development,119.431357,-20.971593,IRON ORE
S0239438,Miralga East - Dasher,Under Development,119.436985,-20.972796,IRON ORE
S0239823,Bigge,Operating,119.205929,-22.286159,IRON ORE
S0239824,Norfolk North,Operating,119.318192,-22.289123,IRON ORE
S0001174,Halleys,Operating,120.374303,-33.633382,NICKEL
S0001258,Goliath North,Operating,120.58921,-27.44865,NICKEL
S0001288,Durkin N,Operating,121.661201,-31.164049,NICKEL
S0001300,Lanfranchi,Under Development,121.842903,-31.505461,NICKEL
S0001375,Cliffs,Operating,120.541753,-27.304974,NICKEL
S0001456,Six Mile Well,Operating,120.57824,-27.422664,NICKEL
S0001583,Rockys Reward Pit,Operating,120.697197,-27.791439,NICKEL
S0001585,Perseverance UG,Operating,120.705597,-27.818119,NICKEL
S0001667,Mt Keith,Operating,120.54174,-27.229599,NICKEL
S0004288,Beta Hunt,Operating,121.689961,-31.242554,NICKEL
S0005040,Murrin North,Operating,121.8955,-28.747169,NICKEL
S0005631,Hale-Bopp,Operating,120.400034,-33.666733,NICKEL
S0006685,Shoemaker-Levy,Operating,120.325452,-33.576416,NICKEL
S0019030,Cosmos Deeps,Under Development,120.575875,-27.596973,NICKEL
S0019821,Decline Portal,Operating,128.027695,-17.3526,NICKEL
S0021101,Murrin South,Operating,121.783997,-28.95483,NICKEL
S0021282,Flying Fox Boxcut,Operating,119.695596,-32.421177,NICKEL
S0021890,Cassini,Operating,121.621101,-31.700939,NICKEL
S0022042,T5,Operating,119.689003,-32.417782,NICKEL
S0023498,Lounge Lizard Ni,Operating,119.69219,-32.425579,NICKEL
S0224582,Spotted Quoll UG,Operating,119.677774,-32.478151,NICKEL
S0229634,Nova,Operating,123.192413,-31.819886,NICKEL
S0229741,Odysseus South,Under Development,120.575875,-27.596973,NICKEL
S0229742,Odysseus N,Under Development,120.575875,-27.596973,NICKEL
S0229754,Long,Operating,121.683531,-31.18112,NICKEL
S0230111,Bollinger,Operating,123.194386,-31.819888,NICKEL
S0230357,Venus,Operating,120.705816,-27.813744,NICKEL
S0231120,Murrin East ,Operating,122.176121,-29.073484,NICKEL
S0231765,Savannah North,Operating,128.017007,-17.338411,NICKEL
S0232023,Boxcut,Operating,123.174503,-31.812592,NICKEL
S0237887,Cassini UG,Under Development,121.62647,-31.70971,NICKEL
